tmdb_id,imdb_id,title,original_title,overview,release_date,genres,keywords,cast,director,vote_average,vote_count,popularity,runtime,poster_path,features,user1_score,user2_score,user3_score,average_user_score,minimum_user_score,rating_norm,popularity_norm,vote_count_norm,group_score
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",2011-07-12,"['Adventure', 'Fantasy']","['witch', 'dying and death', 'saving the world', 'self sacrifice', 'magic', 'school of witchcraft', 'sorcerer', 'school', 'battle', 'ghost', 'wizard', 'teenage hero', 'christmas', 'based on young adult novel', 'good versus evil', 'dramatic', 'appreciative', 'excited', 'teen fantasy']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Ralph Fiennes', 'Alan Rickman']",David Yates,8.1,21929,19.2333,130,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,"['Adventure', 'Fantasy'] ['witch', 'dying and death', 'saving the world', 'self sacrifice', 'magic', 'school of witchcraft', 'sorcerer', 'school', 'battle', 'ghost', 'wizard', 'teenage hero', 'christmas', 'based on young adult novel', 'good versus evil', 'dramatic', 'appreciative', 'excited', 'teen fantasy'] ['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Ralph Fiennes', 'Alan Rickman'] David Yates Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",0.1125837383146038,0.08618846456932729,0.16527239982708633,0.12134820090367249,0.08618846456932729,0.8099999999999999,0.03196084546056333,0.5520260382499874,0.18911336963006922
177572,tt2245084,Big Hero 6,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014-10-24,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['friendship', 'martial arts', 'hero', 'sibling relationship', 'san francisco, california', 'superhero', 'talent', 'cartoon', 'villain', 'based on comic', 'coming of age', 'revenge', 'tokyo, japan', 'best friend', 'another dimension', 'robot', 'east asian lead', 'boy genius', 'super villain', 'aftercreditsstinger', 'villain arrested', 'supervillain', 'moral dilemma', 'teen superhero', 'dead brother', 'loving', '3d animation', 'depressing', 'hopeful']","['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung']",Chris Williams,7.724,16542,21.3508,102,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy'] ['friendship', 'martial arts', 'hero', 'sibling relationship', 'san francisco, california', 'superhero', 'talent', 'cartoon', 'villain', 'based on comic', 'coming of age', 'revenge', 'tokyo, japan', 'best friend', 'another dimension', 'robot', 'east asian lead', 'boy genius', 'super villain', 'aftercreditsstinger', 'villain arrested', 'supervillain', 'moral dilemma', 'teen superhero', 'dead brother', 'loving', '3d animation', 'depressing', 'hopeful'] ['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung'] Chris Williams A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",0.12839702161325933,0.11267303676140113,0.12548685390685238,0.12218563742717094,0.11267303676140113,0.7724,0.036271158701764186,0.4161073825503356,0.188605554092001
673,tt0304141,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",2004-05-31,"['Adventure', 'Fantasy']","['witch', 'school friend', 'friendship', 'flying', 'magic', 'bus', 'traitor', 'child hero', 'school of witchcraft', 'black magic', 'time travel', 'school', 'best friend', 'werewolf', 'muggle', 'ghost', 'wizard', 'aftercreditsstinger', 'magical creature', 'night bus', 'teenage life', 'christmas', 'school class', 'based on young adult novel', 'magic spell', 'admiring', 'comforting', 'enchant', 'teen fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon']",Alfonso Cuarón,8.0,23094,22.7125,141,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"['Adventure', 'Fantasy'] ['witch', 'school friend', 'friendship', 'flying', 'magic', 'bus', 'traitor', 'child hero', 'school of witchcraft', 'black magic', 'time travel', 'school', 'best friend', 'werewolf', 'muggle', 'ghost', 'wizard', 'aftercreditsstinger', 'magical creature', 'night bus', 'teenage life', 'christmas', 'school class', 'based on young adult novel', 'magic spell', 'admiring', 'comforting', 'enchant', 'teen fantasy'] ['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon'] Alfonso Cuarón Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",0.10064420834794828,0.08114983604973222,0.16977838615484017,0.11719081018417354,0.08114983604973222,0.8,0.0390429903619971,0.5814199929353585,0.18520368339922635
1226863,tt28650488,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",2026-04-01,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']","['galaxy', 'friendship', 'sibling relationship', 'space travel', 'turtle', 'sequel', 'slapstick comedy', 'robot', 'based on video game', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger', 'globetrotting', 'space adventure', ""children's adventure"", 'father son relationship', 'parallel universe', 'brother brother relationship', 'talking animal', 'magic land', 'absurd', 'baffled', 'joyful', 'wry', 'fictional country']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Donald Glover']",Michael Jelenic,6.7,846,325.0208,98,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation'] ['galaxy', 'friendship', 'sibling relationship', 'space travel', 'turtle', 'sequel', 'slapstick comedy', 'robot', 'based on video game', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger', 'globetrotting', 'space adventure', ""children's adventure"", 'father son relationship', 'parallel universe', 'brother brother relationship', 'talking animal', 'magic land', 'absurd', 'baffled', 'joyful', 'wry', 'fictional country'] ['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Donald Glover'] Michael Jelenic Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",0.13342236221979342,0.11254555103879957,0.10731627889392877,0.11776139738417392,0.10731627889392877,0.67,0.6544118066146158,0.02008376646313771,0.18504219360620006
1327862,tt33088452,Regretting You,Regretting You,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",2025-10-22,"['Romance', 'Drama']","['high school', 'based on novel or book', 'aunt niece relationship', 'north carolina', 'death of father', 'car crash', 'underage drinking', 'tragedy', 'family drama', 'death of husband', 'underage smoking', 'insecure', 'death of wife', 'complex relationship', 'mother daughter relationship', 'sister sister relationship', 'grandfather grandson relationship', '2000s', 'high school romance', 'loss of husband', 'cinephile', 'sentimental', 'romantic', 'admiring', 'adoring', 'amused', 'bold', 'cheerful', 'melodramatic', 'marijuana use', 'loss of father']","['Mckenna Grace', 'Mason Thames', 'Allison Williams', 'Dave Franco', 'Sam Morelos']",Josh Boone,7.015,393,9.9201,116,/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,"['Romance', 'Drama'] ['high school', 'based on novel or book', 'aunt niece relationship', 'north carolina', 'death of father', 'car crash', 'underage drinking', 'tragedy', 'family drama', 'death of husband', 'underage smoking', 'insecure', 'death of wife', 'complex relationship', 'mother daughter relationship', 'sister sister relationship', 'grandfather grandson relationship', '2000s', 'high school romance', 'loss of husband', 'cinephile', 'sentimental', 'romantic', 'admiring', 'adoring', 'amused', 'bold', 'cheerful', 'melodramatic', 'marijuana use', 'loss of father'] ['Mckenna Grace', 'Mason Thames', 'Allison Williams', 'Dave Franco', 'Sam Morelos'] Josh Boone Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",0.09651328212311151,0.16382151891537725,0.16711706072597582,0.1424839539214882,0.09651328212311151,0.7015,0.013003202354092589,0.008654185800070647,0.18263040626021382
634649,tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,"['Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'vigilante', 'superhero team', 'masked vigilante', 'alternative reality', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'masked superhero', 'fight for justice', 'teen superhero', 'superhero teamup', 'returning hero', 'teamwork', 'excited']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau']",Jon Watts,7.9,21931,31.5021,148,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"['Action', 'Adventure', 'Science Fiction'] ['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'vigilante', 'superhero team', 'masked vigilante', 'alternative reality', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'masked superhero', 'fight for justice', 'teen superhero', 'superhero teamup', 'returning hero', 'teamwork', 'excited'] ['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau'] Jon Watts Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",0.08602680456450743,0.0917465747061999,0.11664456554650414,0.09813931493907048,0.08602680456450743,0.79,0.05693481055791636,0.5520764999747692,0.1727454899395302
1159206,tt31189315,Father Mother Sister Brother,Father Mother Sister Brother,"Estranged siblings reunite after years apart, forced to confront unresolved tensions and reevaluate their strained relationships with their emotionally distant parents.",2025-12-01,"['Comedy', 'Drama']","['paris, france', 'skateboarding', 'pennsylvania, usa', 'dublin, ireland', 'death of father', 'anthology', 'grief', 'loneliness', 'writer', 'twins', 'family reunion', 'widower', 'death of mother', 'lgbt', 'emotionally distant', 'death of wife', 'repetition', 'storage unit', 'adult children', 'father son relationship', 'father daughter relationship', 'mother daughter relationship', 'brother sister relationship', 'sister sister relationship', 'plane crash', 'independent film', 'death of parents', 'distant father', 'rolex']","['Tom Waits', 'Adam Driver', 'Mayim Bialik', 'Charlotte Rampling', 'Cate Blanchett']",Jim Jarmusch,6.439,269,4.2458,110,/96O3Ol3f2veMxAxYqsML8rOumB9.jpg,"['Comedy', 'Drama'] ['paris, france', 'skateboarding', 'pennsylvania, usa', 'dublin, ireland', 'death of father', 'anthology', 'grief', 'loneliness', 'writer', 'twins', 'family reunion', 'widower', 'death of mother', 'lgbt', 'emotionally distant', 'death of wife', 'repetition', 'storage unit', 'adult children', 'father son relationship', 'father daughter relationship', 'mother daughter relationship', 'brother sister relationship', 'sister sister relationship', 'plane crash', 'independent film', 'death of parents', 'distant father', 'rolex'] ['Tom Waits', 'Adam Driver', 'Mayim Bialik', 'Charlotte Rampling', 'Cate Blanchett'] Jim Jarmusch Estranged siblings reunite after years apart, forced to confront unresolved tensions and reevaluate their strained relationships with their emotionally distant parents.",0.09726055368065972,0.13307884395474304,0.1553569484941455,0.12856544870984943,0.09726055368065972,0.6439,0.0014527842079079343,0.005525558863601958,0.16756374710104335
1140535,tt28249919,Presence,Presence,"A couple and their children move into a seemingly normal suburban home. When strange events occur, they begin to believe there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",2025-01-17,"['Drama', 'Horror', 'Thriller']","['husband wife relationship', 'new jersey', 'haunted house', 'grief', 'interracial marriage', 'psychological thriller', 'entity', 'death', 'real estate agent', 'ghost', 'found footage', 'voyeurism', 'family dynamics', 'death of best friend', 'first person view', 'mother son relationship', 'father daughter relationship', 'mother daughter relationship', 'brother sister relationship', 'supernatural horror', 'experimental cinema', 'psychological horror', 'drugging someone', 'horror', 'duchové', 'paranormální jevy', 'zlo']","['Callina Liang', 'Lucy Liu', 'Chris Sullivan', 'Eddy Maday', 'West Mulholland']",Steven Soderbergh,6.113,727,3.9784,84,/xZIGHoHj0DF0zdibwa66cRWHdHO.jpg,"['Drama', 'Horror', 'Thriller'] ['husband wife relationship', 'new jersey', 'haunted house', 'grief', 'interracial marriage', 'psychological thriller', 'entity', 'death', 'real estate agent', 'ghost', 'found footage', 'voyeurism', 'family dynamics', 'death of best friend', 'first person view', 'mother son relationship', 'father daughter relationship', 'mother daughter relationship', 'brother sister relationship', 'supernatural horror', 'experimental cinema', 'psychological horror', 'drugging someone', 'horror', 'duchové', 'paranormální jevy', 'zlo'] ['Callina Liang', 'Lucy Liu', 'Chris Sullivan', 'Eddy Maday', 'West Mulholland'] Steven Soderbergh A couple and their children move into a seemingly normal suburban home. When strange events occur, they begin to believe there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",0.11722605746692008,0.1699225874653894,0.09852559211744695,0.12855807901658547,0.09852559211744695,0.6113000000000001,0.0009084735771182729,0.017081293838623404,0.164766749868356
34584,tt0088323,The NeverEnding Story,Die unendliche Geschichte,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",1984-04-06,"['Adventure', 'Fantasy', 'Family', 'Drama']","['based on novel or book', 'wolf', 'magic', 'fairy tale', 'horse', 'mythology', 'child hero', 'anthropomorphism', 'bully', 'school', 'creature', 'reading', 'book store', 'fantasy world', 'giant', 'gnome', 'quest', 'child protagonist', 'father son relationship', 'based on young adult novel', 'magical necklace']","['Noah Hathaway', 'Barret Oliver', 'Tami Stronach', 'Alan Oppenheimer', 'Sydney Bromley']",Wolfgang Petersen,7.219,4368,5.5039,101,/lWJC8om086h01f0CMGR9ombdpnI.jpg,"['Adventure', 'Fantasy', 'Family', 'Drama'] ['based on novel or book', 'wolf', 'magic', 'fairy tale', 'horse', 'mythology', 'child hero', 'anthropomorphism', 'bully', 'school', 'creature', 'reading', 'book store', 'fantasy world', 'giant', 'gnome', 'quest', 'child protagonist', 'father son relationship', 'based on young adult novel', 'magical necklace'] ['Noah Hathaway', 'Barret Oliver', 'Tami Stronach', 'Alan Oppenheimer', 'Sydney Bromley'] Wolfgang Petersen While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",0.1462597176235869,0.0806076023515047,0.1098297436406902,0.11223235453859393,0.0806076023515047,0.7219,0.004013731121133339,0.10894686380380482,0.16356190013009708
812583,tt14364480,Wake Up Dead Man: A Knives Out Mystery,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",2025-11-26,"['Thriller', 'Mystery', 'Comedy']","['sequel', 'whodunit', 'murder investigation', 'murder mystery', 'upstate new york', 'web of lies', 'mystery thriller', 'hidden motives', 'clue‑based deduction', 'high‑society secrets', 'eccentric detective', 'manipulative personalities', 'hidden relationships', 'isolated mansion', 'character‑driven mystery']","['Daniel Craig', ""Josh O'Connor"", 'Glenn Close', 'Josh Brolin', 'Mila Kunis']",Rian Johnson,7.202,2439,13.3549,145,/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,"['Thriller', 'Mystery', 'Comedy'] ['sequel', 'whodunit', 'murder investigation', 'murder mystery', 'upstate new york', 'web of lies', 'mystery thriller', 'hidden motives', 'clue‑based deduction', 'high‑society secrets', 'eccentric detective', 'manipulative personalities', 'hidden relationships', 'isolated mansion', 'character‑driven mystery'] ['Daniel Craig', ""Josh O'Connor"", 'Glenn Close', 'Josh Brolin', 'Mila Kunis'] Rian Johnson When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",0.09122936186927695,0.11439203120824876,0.12172893174757844,0.10911677494170137,0.09122936186927695,0.7202,0.01999496807823743,0.06027653025180401,0.16299715573334447
